================================================================================
Old Branches Report
================================================================================
Generated: 2025-11-12 19:56:01 UTC
Threshold: 1 day(s)

Total old branches: 281

Branches to delete:

  codex/improve-chat-ui-for-mobile-mjw2qx                                 37d old (last: 2025-10-06)
  docs-project-overview                                                   37d old (last: 2025-10-06)
  fix-jsx-attribute-duplication-erro-ntl-68e38fd0a82e512055650732         37d old (last: 2025-10-06)
  fix-type-error-in-netlify-deploy-e-ntl-68e36cd73b140cd07ff47602         37d old (last: 2025-10-06)
  codex/fix-504-gateway-timeout-error                                     36d old (last: 2025-10-07)
  fix-type-error-in-appmath-brainpag-ntl-68e42c975259e79a4a43fb39         36d old (last: 2025-10-06)
  codex/fix-codex-review-issues-for-pr-#187                               35d old (last: 2025-10-07)
  codex/fix-scaling-issues-in-weather-data-pipeline                       35d old (last: 2025-10-07)
  copilot/fix-missing-export-assertnotdoubleinverted                      34d old (last: 2025-10-09)
  fix-typescript-type-error-in-weath-ntl-68e6a7e2c587bf7a1fa0df2a         34d old (last: 2025-10-08)
  copilot/fix-magnitudeavg-definition                                     32d old (last: 2025-10-11)
  chore/remove-legacy-balance-meter-code                                  28d old (last: 2025-10-15)
  codex/fix-report-generation-in-v2                                       28d old (last: 2025-10-15)
  docs/update-v5-balance-meter-docs                                       28d old (last: 2025-10-15)
  refactor/remove-legacy-metrics                                          28d old (last: 2025-10-15)
  codex/fix-report-generation-error-in-math-brain-v2                      27d old (last: 2025-10-15)
  feat/performance-optimizations                                          26d old (last: 2025-10-17)
  fix/balance-meter-export-zeros                                          26d old (last: 2025-10-17)
  fix/gemini-api-compliance                                               26d old (last: 2025-10-17)
  perf-improvements                                                       26d old (last: 2025-10-17)
  copilot/add-astrology-mathbrain-api                                     24d old (last: 2025-10-18)
  feat/perplexity-persona-hook                                            24d old (last: 2025-10-18)
  feature/consolidate-poetic-brain-output                                 23d old (last: 2025-10-19)
  agent-deployment-8f47                                                   21d old (last: 2025-10-22)
  fix-garbled-download-filename                                           19d old (last: 2025-10-23)
  fix/relocation-docs                                                     19d old (last: 2025-10-23)
  fix/relocation-houses-bugs                                              19d old (last: 2025-10-23)
  spec-v5-unification                                                     19d old (last: 2025-10-23)
  test-coverage-improvements                                              18d old (last: 2025-10-25)
  codex/add-option-to-download-zipfile-bundle                             17d old (last: 2025-10-26)
  codex/fix-usability-issues-on-chat-page                                 17d old (last: 2025-10-26)
  fix-balance-meter-schema                                                17d old (last: 2025-10-26)
  fix/placidus-calculation                                                17d old (last: 2025-10-26)
  jules/audit-fixes                                                       17d old (last: 2025-10-26)
  refactor-seismograph-v5                                                 17d old (last: 2025-10-26)
  codex/summarize-lighthouse-performance-report                           16d old (last: 2025-10-26)
  fix-raven-chat-auth                                                     16d old (last: 2025-10-27)
  fix/relocation-calculations                                             16d old (last: 2025-10-27)
  feature/display-relational-summary                                      13d old (last: 2025-10-30)
  fix-legacy-balance-meter-exports                                        13d old (last: 2025-10-30)
  fix-netlify-build-error                                                 13d old (last: 2025-10-30)
  fix/docs-ascendant-formula                                              13d old (last: 2025-10-30)
  codex/fix-scoring-options-context-placement                             11d old (last: 2025-10-31)
  codex/improve-raven-s-response-modes                                    11d old (last: 2025-10-31)
  codex/improve-session-flow-in-poetic-brain                              11d old (last: 2025-10-31)
  copilot/sub-pr-230                                                      11d old (last: 2025-11-01)
  feat/raw-export                                                         11d old (last: 2025-11-01)
  feature/code-review                                                     11d old (last: 2025-11-01)
  fix/remove-dead-code                                                    11d old (last: 2025-11-01)
  jules-math-brain-refactor                                               11d old (last: 2025-11-01)
  jules-timeless-report-fix                                               11d old (last: 2025-11-01)
  jules-timeless-report-fix-1                                             11d old (last: 2025-11-01)
  refactor-relational-summary                                             11d old (last: 2025-11-01)
  remove-bundle-download                                                  11d old (last: 2025-10-31)
  remove-deprecated-volatility-metric                                     11d old (last: 2025-10-31)
  code-review-balance-meter-v5-1                                          10d old (last: 2025-11-02)
  code-review/volatility-metric-removal                                   10d old (last: 2025-11-02)
  codex/fix-typescript-type-error-in-pingfeedback                         10d old (last: 2025-11-02)
  copilot/fix-typescript-syntax-error                                     10d old (last: 2025-11-02)
  fix/raven-tests-and-cleanup                                             10d old (last: 2025-11-02)
  jules/remove-volatility-metric                                          10d old (last: 2025-11-02)
  code-review-balance-meter-v5                                             9d old (last: 2025-11-03)
  fix/graceful-error-handling-v2-1                                         9d old (last: 2025-11-03)
  jules-review-20251102-2                                                  9d old (last: 2025-11-03)
  codex/fix-typescript-error-in-lib/devauth.ts                             8d old (last: 2025-11-04)
  codex/fix-callback-url-mismatch-in-auth0                                 7d old (last: 2025-11-04)
  codex/fix-overflow-detection-logic-in-balance-meter                      7d old (last: 2025-11-05)
  codex/fix-type-error-for-mandatediagnostic                               7d old (last: 2025-11-04)
  codex/improve-poetic-brain-experience                                    7d old (last: 2025-11-04)
